DateTime,AddedIPs,RemovedIPs
1632952568,4,2
1632953533,4,1
1632954250,3,2
1632954974,0,1
1632955685,2,1
1632956413,2,0
1632957131,4,2
1632957857,5,2
1632958570,6,5
1632959285,2,6
1632960023,4,1
1632960725,1,1
1632961444,5,2
1632962132,5,3
1632962907,0,3
1632963642,4,3
1632964592,7,7
1632965314,4,5
1632966023,7,10
1632966746,5,0
1632967473,11,19
1632968187,6,2
1632968904,8,4
1632969623,8,7
1632970344,4,0
1632971072,6,9
1632972026,7,2
1632972743,7,4
1632973467,3,3
1632974184,4,2
1632974905,4,5
1632975629,1,1
1632976345,1,0
1632977068,2,1
1632977783,2,2
1632978749,2,1
1632979467,7,0
1632980186,3,2
1632981628,2,2
1632982344,2,1
1632983067,3,2
1632984503,1,4
1632985240,0,3
1632986193,5,0
1632986903,4,2
1632987627,2,2
1632988344,1,1
1632989019,2,1
1632990505,3,1
1632991227,3,2
1632991946,2,1
1632992673,2,0
1632994107,1,1
1632994826,2,1
1632995545,0,1
1632996273,4,1
1632996986,0,1
1632997707,3,1
1632998428,2,0
1632999148,1,0
1632999874,1,2
1633000586,2,3
1633001305,4,2
1633002024,1,1
1633002829,4,2
1633003470,2,0
1633004190,1,0
1633004905,3,0
1633005625,1,2
1633006344,2,2
1633007078,1,1
1633008505,2,4
1633009227,2,2
1633009944,1,1
1633010913,0,3
1633011626,2,3
1633012345,1,0
1633013069,0,2
1633013785,5,5
1633014749,5,3
1633015465,0,1
1633017028,5,1
1633017650,0,1
1633018344,1,0
1633019068,4,3
1633019789,4,4
1633020509,1,3
1633021236,2,6
1633021944,3,2
1633022669,3,3
1633023388,3,0
1633024107,4,5
1633024837,5,3
1633025546,2,1
1633026265,3,2
1633026987,2,3
1633027703,2,0
1633028440,3,2
1633029168,4,3
1633029867,2,2
1633030590,2,0
1633031304,1,5
1633032749,2,1
1633033472,13,5
1633034188,1,2
1633034908,0,2
1633035639,1,2
1633036349,3,4
1633037067,0,6
1633037789,2,2
1633038749,4,6
1633039470,1,0
1633040188,2,5
1633040903,2,0
1633041627,1,5
1633042346,3,2
1633043785,4,3
1633044504,5,3
1633045223,2,5
1633045949,0,3
1633046610,3,1
1633047429,6,1
1633048352,4,6
1633049065,0,4
1633049786,4,0
1633050503,3,7
1633051224,5,0
1633051944,9,11
1633052665,5,0
1633053388,9,18
1633054105,3,0
1633054824,4,9
1633055550,3,3
1633056265,3,5
1633057006,6,9
1633057703,1,4
1633058425,2,1
1633059143,5,2
1633059867,6,6
1633060586,6,2
1633061306,3,6
1633062027,1,3
1633062744,3,1
1633063709,1,1
1633064666,1,3
1633065624,1,1
1633066344,3,1
1633067068,2,0
1633067784,1,0
1633069224,1,1
1633069945,1,0
1633070664,2,0
1633071626,2,4
1633072343,2,0
1633073065,1,3
1633073789,3,2
1633074505,1,5
1633075946,3,2
1633076665,2,0
1633077626,2,2
1633078346,1,0
1633079070,1,2
1633079787,2,0
1633080507,2,4
1633081225,1,0
1633081949,4,5
1633082670,4,0
1633083386,4,2
1633084827,4,3
1633085545,4,0
1633086270,0,1
1633086985,3,2
1633087704,3,2
1633088425,6,3
1633089145,2,0
1633089869,4,1
1633090587,1,1
1633091304,2,1
1633092024,0,4
1633092745,1,2
1633093471,2,3
1633094183,2,2
1633094904,0,4
1633095625,1,1
1633096347,0,1
1633097067,1,3
1633097786,1,3
1633098508,1,0
1633099230,1,3
1633100189,1,1
1633100903,3,2
1633101638,5,4
1633102345,1,6
1633103065,4,2
1633103783,3,1
1633104507,2,1
1633105224,3,3
1633106669,3,6
1633107387,1,2
1633108348,1,3
1633109209,4,3
1633110247,1,1
1633110965,0,2
1633111929,1,5
1633113367,1,0
1633114086,0,1
1633114816,3,2
1633115525,1,1
1633116273,1,6
1633116970,4,0
1633117687,5,1
1633118412,2,3
1633119127,3,1
1633119847,0,1
1633120567,3,1
1633121287,2,1
1633122017,2,3
1633123456,3,3
1633124169,0,3
1633125132,1,3
1633125850,2,3
1633126568,1,1
1633127287,2,1
1633128246,3,3
1633128967,2,2
1633129687,3,3
1633130406,1,0
1633131125,7,7
1633131846,0,3
1633132566,4,3
1633133527,0,3
1633134246,3,4
1633134969,3,3
1633135686,2,3
1633136416,2,1
