DateTime,AddedIPs,RemovedIPs
1631817371,0,3
1631819167,2,1
1631820610,0,8
1631822767,0,4
1631823490,1,0
1631824213,0,1
1631826727,0,1
1631828529,0,1
1631829248,2,0
1631829967,2,1
1631831052,2,0
1631831772,0,25
1631833567,0,1
1631835728,0,2
1631836929,0,1
1631839329,1,1
1631842210,0,1
1631844429,0,2
1631847248,0,1
1631853009,0,2
1631855888,0,1
1631856967,0,1
1631857687,17,0
1631859847,0,2
1631860568,0,2
1631863088,0,1
1631867413,0,2
1631868847,1,0
1631869569,5,1
1631871367,0,2
1631873169,0,2
1631875327,0,1
1631878211,1,0
1631885418,0,1
1631886846,1,0
1631890447,1,0
1631892609,0,2
1631894768,0,1
1631895487,1,0
1631896210,0,1
1631898367,0,2
1631899810,1,0
1631901728,2,4
1631902688,1,0
1631903772,0,2
1631905574,1,1
1631906577,2,0
1631907367,2,15
1631909168,1,3
1631910620,0,1
1631913187,0,1
1631914930,0,1
1631919967,0,1
1631921410,0,5
1631932268,1,0
1631935815,0,1
1631938686,1,1
1631945887,2,0
1631946611,1,0
1631952366,1,4
1631954170,0,1
1631957048,0,1
1631958127,0,2
1631960288,1,0
1631961010,0,2
1631963171,1,1
1631963886,1,0
1631966047,0,4
1631968209,0,2
1631972538,1,1
1631978648,0,1
1631979368,0,21
1631982246,0,1
1631983328,0,2
1631987288,1,1
1631988018,0,1
1631990171,0,1
1631992688,1,1
1631994129,0,1
1631997012,1,0
1631999167,0,2
1632000610,0,3
1632003489,1,0
1632008168,1,2
1632015728,1,0
1632026528,1,0
1632027968,3,0
1632029048,1,0
1632033728,1,0
1632034818,0,1
1632036610,1,0
1632039126,1,2
1632040268,2,2
1632045967,1,0
1632048491,1,1
1632051733,1,0
1632054248,1,0
1632059646,1,0
1632062887,2,0
1632064688,1,0
1632065409,0,24
1632070448,0,1
1632072610,0,2
1632076213,0,5
1632079811,0,1
1632081968,0,1
1632085570,0,1
1632089891,1,0
1632091688,1,0
1632097447,2,0
1632102128,1,1
1632107168,1,0
1632109687,1,0
1632110767,0,3
1632111127,1,0
1632112211,2,0
1632113347,2,0
1632114727,2,0
1632115811,2,2
1632117247,2,0
1632118687,1,0
1632121567,0,1
1632123016,9,0
1632125529,2,0
1632130567,0,1
1632133810,2,2
1632135967,1,0
1632136689,1,0
1632137409,0,2
1632150366,1,1
1632155767,1,0
1632157568,0,1
1632160447,1,0
1632164767,1,0
1632166211,1,1
1632168367,2,0
1632169088,1,0
1632171970,1,1
1632173767,0,1
1632177729,0,1
1632183487,1,0
1632184567,0,1
1632188527,3,0
1632192128,1,0
1632195012,0,1
1632198968,1,1
1632201128,2,0
1632202570,0,1
1632204727,2,0
1632210128,0,2
1632211572,0,1
1632218420,0,1
1632221290,0,1
1632224169,0,1
1632225247,1,0
1632227047,1,0
1632229928,0,1
1632232207,2,2
1632234611,0,1
1632242168,1,0
1632244327,2,0
1632252248,1,0
1632255187,20,0
1632257647,2,0
1632258368,1,0
1632260528,1,1
1632262329,0,1
1632264488,0,1
1632267009,0,3
1632269286,4,0
1632272047,0,1
1632272767,0,1
1632275288,1,0
1632276368,0,1
1632278170,3,0
1632279968,3,0
1632281768,0,1
1632282848,0,1
1632283928,1,3
1632285009,0,1
1632285368,0,1
1632287886,1,1
1632288613,0,1
1632293646,1,0
1632296168,0,3
1632301567,0,1
1632303012,0,3
1632304086,1,0
1632305886,2,0
1632306611,0,2
1632313810,1,0
1632317410,0,2
1632318128,1,0
1632319928,1,0
1632322087,4,0
1632324610,1,10
1632325329,1,0
1632327128,1,0
1632327847,4,0
1632328213,0,1
1632330728,2,1
1632333969,0,1
1632334686,18,0
1632335413,1,0
1632336127,0,1
1632337566,0,1
1632339728,0,1
1632341527,0,1
1632342967,1,0
1632345486,1,0
1632346213,1,1
1632349815,1,0
1632353527,1,0
1632355928,0,1
1632357730,1,0
1632359529,0,1
1632361026,0,1
1632362768,0,1
1632367087,1,0
1632367814,1,1
1632368528,0,1
1632371411,0,1
1632375010,0,2
1632377887,2,0
1632384728,1,0
1632386528,1,1
1632388687,2,0
1632395166,0,1
1632402127,2,2
1632412088,1,2
1632414967,0,2
1632419648,0,1
1632422165,0,1
1632423967,0,20
1632426847,0,2
1632427568,0,2
1632429012,1,1
1632432668,1,0
1632439809,0,4
1632440527,10,0
1632442326,1,0
1632443049,1,0
1632444847,0,1
1632445567,2,0
1632447368,0,3
1632449889,0,1
1632450611,0,2
1632452046,1,0
1632453849,1,0
1632457810,0,1
1632462847,2,0
1632464288,2,0
1632472927,2,1
1632474368,0,1
1632477967,2,0
1632482288,2,0
1632483010,0,1
1632483727,1,0
1632488048,0,1
1632490215,0,2
1632493447,1,4
1632494526,0,2
1632498847,0,7
1632499567,1,1
1632501009,0,1
1632501367,1,0
1632504609,0,18
1632507489,1,0
1632511808,0,1
1632515411,0,2
1632519010,0,1
1632522617,0,1
1632526210,0,1
1632548527,2,4
1632552130,1,0
1632553568,0,1
1632555726,1,1
1632558966,0,2
1632560047,29,0
1632562209,1,0
1632565810,1,0
1632567248,1,0
1632568687,2,0
1632571927,1,2
1632573730,1,0
1632576252,1,0
1632582366,1,0
1632583088,1,0
1632583815,0,1
1632588487,1,0
1632591010,3,0
1632593167,1,0
1632594966,1,0
1632596768,2,0
1632598568,0,1
1632602530,0,1
1632603967,1,0
1632606128,1,0
1632608287,1,0
1632611168,0,10
1632612968,1,2
1632615487,4,2
1632616930,1,0
1632632768,0,2
1632634570,1,1
1632642847,0,1
1632645368,2,0
1632647168,0,2
1632648968,0,1
1632650048,2,0
1632654727,0,1
1632664942,1,1
1632667330,1,0
1632670928,0,3
1632677768,1,1
1632680650,1,0
1632681728,1,0
1632683528,1,0
1632688929,0,1
1632693966,1,0
1632697027,11,0
1632699726,1,0
1632704770,0,1
1632711249,1,0
1632715328,1,1
1632717067,0,1
1632720249,1,0
1632723847,0,1
1632724210,0,2
1632729727,0,28
1632731417,0,1
1632735009,1,1
1632737167,0,1
1632738970,0,1
1632740767,0,2
1632744366,0,1
1632747247,16,1
1632747967,1,0
1632748694,5,0
1632749414,4,1
1632750129,1,0
1632751217,2,0
1632753012,1,2
1632758767,20,1
1632761287,0,3
1632762015,1,0
1632763088,2,0
1632764212,1,2
1632765967,0,1
1632767418,0,1
1632773527,1,0
1632774248,1,0
1632774969,0,2
1632780367,0,1
1632782531,0,1
1632785767,0,5
1632787927,0,1
1632791168,1,0
1632802687,2,0
1632810966,1,0
1632817086,1,0
1632820687,0,2
1632835817,0,2
1632843010,0,2
1632846611,1,1
1632847328,0,1
1632850568,0,1
1632854174,0,1
1632864247,1,0
1632864611,0,1
1632865328,0,13
1632866828,6,0
1632869647,0,2
1632879427,1,1
1632881712,0,1
1632884766,0,1
1632895567,1,0
1632898088,2,0
1632903488,2,0
