DateTime,AddedIPs,RemovedIPs
1632815289,1,1
1632816370,1,4
1632817087,1,0
1632818532,0,5
1632818889,1,0
1632820688,2,5
1632822130,5,4
1632823568,0,2
1632825021,4,4
1632827888,2,5
1632828611,2,6
1632829330,1,0
1632831129,3,2
1632831489,1,0
1632832928,4,4
1632833647,1,0
1632835819,3,3
1632836889,0,1
1632837621,1,1
1632838329,4,0
1632839768,1,5
1632841570,3,17
1632842290,1,0
1632843012,2,2
1632843372,2,0
1632844449,3,0
1632845529,2,2
1632846612,3,3
1632847330,155,1
1632848050,5,10
1632848769,2,14
1632850569,3,9
1632851289,0,4
1632851650,2,1
1632852369,4,2
1632852729,1,0
1632854175,5,4
1632854889,4,1
1632856688,3,1
1632857769,3,2
1632858970,5,0
1632860110,2,6
1632860651,2,0
1632861370,5,5
1632861732,1,0
1632862450,3,1
1632864248,2,2
1632864613,1,2
1632865330,2,1
1632866830,4,1
1632867853,1,0
1632869649,3,0
1632870368,1,1
1632870728,1,0
1632872529,2,2
1632874329,2,1
1632875050,2,0
1632875413,0,1
1632876130,1,0
1632878290,4,1
1632879429,1,1
1632880571,2,1
1632881713,3,18
1632883329,2,3
1632884768,3,1
1632885491,2,0
1632886220,3,0
1632888729,4,1
1632889451,1,0
1632890169,2,7
1632890890,3,0
1632891970,2,2
1632893771,7,2
1632894128,1,1
1632894849,2,0
1632895568,2,0
1632896289,3,0
1632898089,6,2
1632898450,1,1
1632899171,3,0
1632899889,4,0
1632900614,7,2
1632901329,1,1
1632903490,5,2
1632904215,3,0
1632904933,3,2
1632905650,1,0
1632906368,10,0
1632907090,12,2
1632907812,11,2
1632908530,3,1
1632909968,7,2
1632912491,10,1
1632913222,6,2
1632913928,2,1
1632915370,4,2
1632917168,11,0
1632917888,1,0
1632919689,5,8
1632920049,2,0
1632920769,1,3
1632921488,4,0
1632923649,7,6
1632924369,4,2
1632925089,2,0
1632926888,6,5
1632928330,14,0
1632930129,18,15
1632930848,2,0
1632931223,3,2
1632931928,8,0
1632933012,4,4
1632933731,80,0
1632935169,12,11
1632937330,18,19
1632938050,1,4
1632939853,7,11
1632940992,2,4
1632942789,3,4
1632943449,2,0
1632944169,1,3
1632946329,5,2
1632947769,2,9
1632948131,1,0
1632949570,2,4
1632950288,2,0
1632951731,1,11
1632952448,1,1
1632953169,0,2
1632955690,4,4
1632956769,0,1
1632957848,1,0
1632958929,3,4
1632959288,2,0
1632961090,4,1
1632962530,6,4
1632964329,5,2
1632966130,5,2
1632966848,1,0
1632969367,4,1
1632971169,1,1
1632972974,1,2
1632973691,1,0
1632974768,0,4
1632976569,0,1
1632977292,2,0
1632977651,1,0
1632979813,4,6
1632980170,0,1
1632981970,7,5
1632982329,4,0
1632983048,11,0
1632984130,14,1
1632984848,10,0
1632985988,12,3
1632986647,7,0
1632987369,6,2
1632989170,16,2
1632989889,4,0
1632990253,2,0
1632990975,8,4
1632991688,4,1
1632992769,7,1
1632993850,5,1
1632994570,2,5
1632996370,7,1
1632998168,7,3
1632998889,2,0
1632999249,1,0
1632999969,3,3
1633000688,3,0
1633001415,3,2
1633001768,2,2
1633002851,8,0
1633003988,7,3
1633005011,3,3
1633005730,1,1
1633006931,3,1
1633007890,8,0
1633008615,2,4
1633009334,1,1
1633009690,2,0
1633010770,2,2
1633011488,1,0
1633012210,4,2
1633012929,1,1
1633014022,0,4
1633014730,2,0
1633015449,1,0
1633016590,1,8
1633017729,3,119
1633018689,2,0
1633019409,2,3
1633020129,43,0
1633021928,34,2
1633023010,6,18
1633023728,2,11
1633024448,5,7
1633026254,3,6
1633027331,5,5
1633028049,2,0
1633028767,3,5
1633029488,3,0
1633029849,1,0
1633030930,5,8
1633031648,3,0
1633032373,1,2
1633032730,1,1
1633033816,2,4
1633034533,1,0
1633035250,2,0
1633035971,0,3
1633036689,2,2
1633037411,0,1
1633038488,2,1
1633039569,1,1
1633041018,6,2
1633042448,3,0
1633043529,5,0
1633044611,0,2
1633046768,4,1
1633048214,1,3
1633048932,1,0
1633050729,4,3
1633051450,1,0
1633052170,0,5
1633052889,2,0
1633053251,2,0
1633054391,2,2
1633055411,2,6
1633056129,2,0
1633057570,1,1
1633059374,5,3
1633060449,4,2
1633062249,3,2
1633062968,4,7
1633064050,4,0
1633064769,4,3
1633065489,4,0
1633066212,2,4
1633066568,3,1
1633068369,11,6
1633069088,3,0
1633069811,2,7
1633070888,3,3
1633072328,5,4
1633073411,4,3
1633074489,6,0
1633075929,4,7
1633077018,2,8
1633077732,4,0
1633078448,1,0
1633079889,6,6
1633080612,0,2
1633080968,0,1
1633082049,3,0
1633083129,5,5
1633083850,5,0
1633084212,2,3
1633085349,5,2
1633086369,7,4
1633087088,3,0
1633087813,5,7
1633089247,3,1
1633089970,1,1
1633090690,1,3
1633091411,1,4
1633092129,3,2
1633092849,0,1
1633093569,2,4
1633095730,7,3
1633096449,2,1
1633098248,2,6
1633098969,0,10
1633100048,2,1
1633100771,0,7
1633102568,0,9
1633104368,1,35
1633104730,2,0
1633105450,57,0
1633106169,20,9
1633107968,8,30
1633108688,0,20
1633109411,0,2
1633110489,1,6
1633110849,1,0
1633111568,0,2
1633112714,1,2
1633113734,3,4
1633115170,0,2
1633116611,1,5
1633116969,0,2
1633117688,0,1
1633119849,2,2
1633120570,0,2
1633124169,0,2
1633124887,1,3
1633126688,1,1
1633127415,0,1
1633129687,1,4
1633130648,1,0
1633131368,0,7
1633134611,0,3
1633135332,0,1
1633136050,1,1
1633137190,0,4
1633138213,2,6
1633140368,0,2
1633142168,1,1
1633143970,0,2
1633146134,3,1
1633146852,2,0
1633147569,0,1
1633148290,2,0
1633149011,9,4
1633149732,4,0
1633150450,2,0
1633151168,5,0
1633151889,1,0
1633153329,3,11
1633154047,1,0
1633154768,8,6
1633155128,1,0
1633155849,6,2
1633157287,14,7
1633158020,5,9
1633159090,3,1
1633160888,7,14
1633161248,1,1
1633163053,5,6
1633164489,5,14
1633165569,5,10
1633167011,0,7
1633168089,2,3
1633168448,4,0
1633170248,14,7
1633170969,0,9
1633171688,2,3
1633173129,0,9
1633174269,3,8
1633176369,4,8
1633177088,1,1
1633178528,5,18
1633179729,1,5
1633181414,1,8
1633182131,0,1
1633183929,2,5
1633185730,2,5
1633187889,4,6
1633188612,0,4
1633188969,0,1
1633190169,1,0
1633191490,73,4
1633192211,20,34
1633192569,2,19
1633194370,5,34
1633195089,2,0
1633195811,2,7
1633196538,1,0
1633196890,0,3
1633198030,3,5
1633200129,7,12
1633201569,2,5
1633203730,1,4
1633204088,0,1
1633205890,2,3
1633206612,1,3
