DateTime,Entries,UniqueIPs
1632290655,5777,6010
1632292590,5773,6006
1632294743,5799,6033
1632296646,5820,6054
1632298593,5803,6038
1632300484,5798,6033
1632302405,5792,6026
1632304340,5797,6032
1632306250,5783,6021
1632308180,5779,6019
1632310085,5774,6015
1632312017,5787,6029
1632313944,5791,6033
1632315852,5781,6023
1632317769,5778,6020
1632319701,5794,6036
1632321605,5790,6032
1632323523,5796,6038
1632325461,5793,6035
1632327369,5796,6039
1632329528,5809,6052
1632331447,5814,6057
1632333381,5813,6058
1632335286,5815,6059
1632337216,5822,6066
1632341052,5812,6056
1632342984,5805,6049
1632344884,5803,6047
1632347046,5799,6045
1632348967,5809,6055
1632350902,5803,6052
1632352847,5802,6050
1632354742,5801,6049
1632356648,5795,6043
1632358566,5800,6046
1632360502,5797,6043
1632362418,5798,6046
1632364323,5798,6045
1632366270,5798,6044
1632368166,5813,6062
1632370338,5828,6077
1632372262,5828,6075
1632374172,5824,6071
1632376327,5822,6068
1632378246,5827,6074
1632380180,5830,6078
1632382331,5845,6094
1632384253,5852,6102
1632388085,5830,6080
1632392407,5811,6058
1632394325,5818,6063
1632396265,5838,6083
1632398166,5836,6084
1632400331,5855,6104
1632402496,5864,6112
1632404422,5839,6087
1632406329,5842,6090
1632408244,5853,6102
1632410181,5836,6085
1632412085,5852,6101
1632414007,5847,6096
1632415945,5836,6085
1632417846,5832,6082
1632419767,5828,6077
1632421702,5819,6067
1632423610,5819,6068
1632425524,5811,6059
1632427471,5815,6063
1632429368,5813,6058
1632431528,5806,6054
1632433446,5800,6050
1632435383,5800,6050
1632437304,5792,6042
1632439206,5786,6036
1632441128,5790,6040
1632443048,5779,6031
1632444999,5793,6045
1632446909,5788,6040
1632450735,5781,6033
1632452674,5772,6023
1632454568,5776,6027
1632456730,5772,6024
1632458646,5766,6018
1632460583,5762,6017
1632462484,5759,6015
1632464431,5753,6009
1632466329,5745,6003
1632468251,5739,5998
1632470165,5725,5983
1632472102,5726,5984
1632474022,5722,5979
1632475925,5738,5996
1632477875,5738,5995
1632479769,5740,5994
1632481928,5740,5994
1632483848,5738,5991
1632485798,5734,5988
1632487932,5733,5987
1632489865,5720,5973
1632491765,5718,5971
1632493686,5718,5971
1632495633,5713,5963
1632497531,5719,5968
1632499474,5720,5969
1632503526,5708,5958
1632505465,5702,5954
1632507368,5703,5956
1632509322,5697,5953
1632511210,5703,5960
1632513126,5714,5973
1632515067,5721,5982
1632516966,5734,5995
1632519129,5725,5992
1632522971,5713,5977
1632525130,5723,5987
1632527064,5738,6002
1632528970,5742,6009
1632531129,5756,6023
1632533050,5763,6030
1632534984,5767,6034
1632547445,5730,5992
1632549621,5705,5964
1632551545,5708,5967
1632553458,5709,5968
1632555387,5709,5967
1632557288,5700,5953
1632559208,5697,5950
1632561148,5703,5954
1632563046,5697,5948
1632565208,5690,5941
1632567123,5672,5921
1632569065,5667,5917
1632570968,5656,5907
1632572904,5655,5906
1632574819,5652,5901
1632576724,5649,5898
1632578674,5648,5895
1632580572,5666,5913
1632582505,5620,5870
1632584406,5634,5884
1632586325,5644,5894
1632588266,5645,5895
1632590172,5656,5906
1632592330,5667,5918
1632594251,5677,5926
1632596184,5688,5937
1632598085,5700,5948
1632600013,5714,5962
1632601943,5721,5972
1632603857,5711,5962
1632605788,5710,5960
1632607698,5705,5956
1632609623,5713,5965
1632611532,5714,5968
1632613464,5712,5967
1632615368,5712,5967
1632617529,5720,5976
1632619451,5707,5962
1632621384,5709,5963
1632623286,5716,5971
1632625214,5734,5989
1632627144,5735,5990
1632629052,5734,5989
1632630967,5739,5995
1632632905,5738,5992
1632634808,5726,5981
1632636726,5720,5976
1632638663,5716,5971
1632640567,5714,5968
1632642725,5717,5972
1632644648,5717,5970
1632646586,5714,5966
1632648488,5715,5966
1632650659,5709,5961
1632652584,5704,5956
1632654498,5712,5964
1632656424,5720,5974
1632658356,5721,5975
1632660266,5743,6001
1632662169,5748,6007
1632664326,5750,6009
1632666264,5741,6000
1632668109,5756,6015
1632670153,5759,6017
1632672196,5763,6021
1632674437,5764,6021
1632676330,5756,6012
1632678244,5765,6023
1632680189,5768,6026
1632682324,5773,6032
1632684262,5781,6040
1632686164,5791,6051
1632688085,5788,6049
1632691944,5778,6041
1632697745,5765,6026
1632699847,5768,6030
1632702005,5757,6018
1632703924,5747,6008
1632705866,5748,6008
1632707764,5743,6002
1632709990,5717,5976
1632711872,5712,5967
1632713769,5701,5956
1632715931,5693,5947
1632717867,5686,5940
1632719767,5703,5957
1632721926,5717,5971
1632726266,5691,5942
1632728189,5721,5972
1632730099,5725,5976
1632732028,5731,5984
1632733930,5739,5994
1632735845,5747,6002
1632739946,5748,5999
1632741845,5750,6002
1632743795,5746,5994
1632745684,5750,5996
1632747853,5762,6008
1632749784,5778,6024
1632751704,5795,6042
