DateTime,AddedIPs,RemovedIPs
1632879047,4,0
1632881437,4,0
1632881740,3,0
1632883840,1,0
1632884138,0,1
1632885036,7,0
1632886536,3,0
1632887139,1,0
1632889240,1,0
1632889841,2,0
1632890140,1,0
1632891337,0,1
1632891647,3,0
1632892240,2,0
1632893140,6,0
1632893446,1,0
1632895543,1,0
1632895838,1,0
1632896438,1,0
1632898237,0,1
1632898851,1,0
1632899437,4,0
1632900643,3,0
1632900936,2,0
1632903036,2,0
1632903641,1,0
1632904841,1,0
1632905736,0,1
1632906047,1,0
1632906639,3,0
1632907840,4,0
1632910238,1,0
1632910836,1,0
1632913245,2,0
1632913838,2,0
1632914438,10,1
1632915044,12,1
1632915337,6,0
1632916236,3,0
1632916840,1,0
1632917441,1,0
1632918644,3,0
1632919240,3,0
1632919540,1,0
1632920444,1,0
1632921036,3,0
1632922241,4,0
1632922538,0,2
1632924638,3,0
1632925239,1,0
1632927039,1,0
1632927339,1,0
1632927647,2,0
1632928238,1,0
1632929444,3,0
1632930641,15,0
1632931839,3,0
1632932142,1,0
1632932439,6,0
1632933042,2,0
1632933640,2,0
1632934236,1,0
1632934535,2,0
1632935435,0,1
1632936640,4,0
1632936935,0,1
1632939036,4,0
1632939639,1,0
1632939938,3,0
1632940244,5,0
1632941737,0,1
1632942044,3,0
1632942940,4,0
1632962138,34,0
1632962439,1,0
1632963937,33,0
1632964542,4,0
1632965445,1,0
1632967838,4,0
1632971438,2,0
1632974738,1,0
1632975038,1,0
1632978636,1,0
1632982239,1,0
1632983736,2,0
1632987336,1,0
1632997239,0,1
1632997540,0,1
1632999042,0,1
1632999338,41,0
1633003837,2,0
1633005040,1,0
1633006238,97,0
1633006538,3,0
1633007440,3,6
1633007743,2,1
1633008339,2,0
1633008935,1,0
1633009545,0,1
1633010738,2,0
1633011343,4,0
1633011640,1,0
1633011938,4,0
1633012839,1,0
1633013440,3,0
1633014637,1,0
1633016138,4,0
1633017336,3,0
1633019444,4,0
1633020644,1,0
1633020936,1,0
1633022144,2,0
1633023048,5,0
1633023942,1,0
1633024536,1,0
1633024844,3,0
1633025140,1,0
1633025442,1,0
1633026041,8,0
1633026643,5,0
1633026936,0,1
1633027547,0,1
1633028136,6,0
1633028447,1,0
1633029637,3,0
1633029938,5,0
1633031445,4,0
1633032046,2,1
1633032341,4,1
1633032639,1,0
1633033238,1,0
1633033841,3,1
1633034439,2,0
1633034744,5,1
1633035336,5,0
1633036239,1,0
1633036839,2,0
1633037443,2,0
1633038041,2,0
1633038639,2,0
1633038939,1,0
1633039839,5,0
1633040440,2,0
1633041640,1,0
1633042237,2,0
1633043742,2,0
1633045008,1,0
1633045588,1,0
1633047038,1,0
1633047639,3,0
1633048245,3,0
1633048539,7,0
1633049438,1,0
1633050639,4,0
1633051844,7,0
1633053039,2,0
1633053335,1,0
1633053943,1,0
1633054542,4,0
1633055443,5,0
1633055738,2,0
1633056937,1,0
1633057249,1,0
1633057840,2,0
1633059040,1,0
1633061438,3,0
1633062039,1,0
1633062648,1,0
1633064137,1,0
1633065038,4,0
1633066837,0,8
1633067148,0,1
1633068342,3,0
1633068640,1,0
1633069239,1,0
1633070142,1,0
1633071040,1,0
1633071647,1,0
1633072238,1,0
1633072548,2,0
1633073443,1,0
1633074348,3,0
1633075837,1,0
1633076441,4,0
1633077043,3,0
1633078237,1,0
1633079438,1,0
1633080039,2,0
1633080339,1,0
1633080937,3,0
1633081239,2,0
1633081550,2,0
1633082449,2,0
1633083642,1,0
1633084252,13,0
1633084842,7,0
1633085740,1,0
1633088441,1,0
1633088750,1,0
1633089040,1,0
1633089647,1,0
1633090243,1,0
1633090838,1,0
1633091737,13,0
1633092040,1,1
1633092939,1,0
1633093839,9,0
1633095642,2,0
1633096847,3,0
1633097439,3,0
1633099542,1,0
1633100741,2,0
1633101038,3,0
1633101343,2,0
1633101939,1,0
1633102540,2,2
1633104639,1,0
1633105843,2,0
1633107038,31,0
1633107337,37,0
1633107648,6,0
1633108237,14,0
1633109137,5,0
1633109737,11,0
1633110641,2,0
1633111838,4,0
1633113943,1,0
1633116643,18,0
1633120243,1,0
1633121440,1,0
1633122637,2,0
1633123238,1,0
1633123538,15,0
1633123841,5,0
1633124439,2,0
1633125039,4,0
1633126237,5,0
1633126541,0,1
1633126839,2,0
1633127141,1,0
1633127736,5,0
1633128037,1,0
1633128638,5,0
1633128936,4,0
1633129840,1,0
1633130144,1,0
1633130438,4,0
1633130739,1,0
1633131046,1,0
1633132241,6,0
1633132537,1,0
1633132849,2,0
1633133741,2,0
1633134040,6,0
1633134642,1,0
1633134937,2,0
1633136444,1,0
1633137037,13,0
1633137343,0,1
1633137638,1,0
1633137939,2,0
1633138240,3,0
1633139438,1,0
1633140338,1,0
1633140636,2,0
1633142746,1,0
1633143336,1,0
1633144237,3,0
1633145137,2,0
1633146643,2,0
1633147245,2,0
1633147836,2,0
1633149041,1,0
1633149642,1,0
1633150848,2,0
1633152643,1,0
1633152939,1,0
1633155343,10,0
1633156247,2,0
1633157440,2,0
1633158044,2,0
1633158641,3,0
1633158945,30,0
1633159240,15,0
1633159839,1,0
1633165839,1,0
1633168849,8,0
1633169143,5,0
1633169742,1,0
1633170641,3,0
1633170936,2,0
1633173039,3,0
1633173939,2,0
1633175144,1,0
1633176638,2,0
1633177540,1,0
1633177842,3,0
1633178438,2,0
1633179039,1,0
1633179940,3,0
1633180236,1,0
1633183540,1,0
1633184437,1,0
1633188937,6,0
1633189237,2,0
1633189547,0,2
1633190442,5,0
1633191037,2,0
1633191639,0,1
1633192839,2,0
1633194048,2,0
1633194637,1,0
1633195538,1,0
1633196140,2,0
1633196740,0,1
1633197941,2,0
1633198840,1,0
1633199443,3,0
1633201242,2,0
1633201838,3,0
1633203042,2,0
1633203638,2,0
1633205437,1,0
1633206037,1,0
1633206641,4,0
1633207238,2,0
1633207835,1,0
1633209038,1,0
1633210850,1,0
1633211736,1,0
1633212053,1,0
1633213538,3,0
1633215343,1,0
1633216238,3,0
1633217143,4,0
1633218037,3,0
1633218639,1,0
1633219837,1,0
1633220142,2,0
1633220740,2,0
1633221041,1,0
1633221639,2,0
1633222240,1,0
1633222845,1,0
1633223438,3,0
1633224938,4,0
1633226444,2,0
1633227037,5,0
1633227640,3,0
1633227938,3,0
1633228539,2,0
1633229735,1,0
1633230639,6,0
1633234541,2,0
1633235439,2,0
1633235742,3,0
1633236041,1,0
1633238437,2,0
1633239639,1,0
1633241745,1,0
1633242937,1,0
1633243845,1,0
1633244450,3,0
1633245037,1,0
1633245344,1,0
1633246245,1,0
1633246537,1,0
1633248637,2,0
1633249538,1,0
1633251340,1,0
1633251651,1,0
1633252238,0,1
1633253737,2,0
1633255253,1,0
1633255838,1,0
1633256738,2,0
1633259743,1,0
1633260340,2,0
1633261240,1,0
1633261839,2,0
1633263037,1,0
1633263939,1,0
1633264536,1,0
1633264838,1,0
1633265444,16,2
1633265738,8,0
1633266637,3,0
1633267238,1,0
1633267536,1,0
1633267850,1,0
1633269945,2,0
1633270544,4,0
1633270839,1,0
1633271447,3,0
1633272643,3,0
1633273253,1,0
1633275040,5,0
1633276241,1,0
1633276846,1,0
1633277439,3,0
1633277748,9,0
1633278041,11,0
1633278643,28,0
1633279240,3,0
1633279844,7,0
1633280445,6,0
1633280737,4,0
1633281342,1,0
1633281642,30,0
1633281937,22,0
1633282539,24,0
1633283143,3,0
1633283451,1,0
1633283737,2,0
1633284046,7,0
1633284639,6,0
1633285240,19,0
1633285846,31,0
1633286442,2,0
1633287643,4,0
1633288511,3,0
1633288838,8,0
1633289138,5,0
1633289449,5,0
1633291839,1,0
1633292440,4,0
1633292739,2,0
1633293048,2,0
1633294539,1,0
1633295439,4,0
1633295745,6,0
1633296037,1,0
1633296643,5,0
1633296937,2,0
1633297841,2,0
1633298137,2,0
1633298457,1,0
1633299039,4,0
1633299344,3,0
1633299640,4,0
1633300247,4,0
1633300536,0,1
1633300837,1,0
1633301736,2,0
1633302049,4,0
1633302640,4,0
1633303237,2,0
1633303540,2,0
1633303847,6,0
1633304136,1,0
1633305041,2,0
1633305338,5,0
1633306239,3,0
1633306843,7,0
1633307141,2,0
1633307447,19,0
1633308041,3,0
1633308641,3,0
1633308937,1,0
1633309248,3,0
1633309837,6,0
1633310141,1,0
1633310438,5,0
1633311042,9,0
1633311639,2,0
1633313438,1,0
1633314037,1,0
1633314341,1,0
1633315837,1,0
1633316446,1,0
1633316741,1,0
1633317037,1,0
1633318246,7,0
1633318840,3,0
1633319439,1,0
1633320344,1,0
1633321237,1,0
1633321841,91,0
1633322136,1,0
1633325446,8,0
1633326037,1,0
1633326641,15,0
1633327247,3,0
1633329336,8,0
1633329639,1,0
1633329942,1,0
1633330536,1,0
1633332339,2,0
1633332640,2,0
1633333541,1,0
1633335640,2,0
1633337438,3,0
1633337739,5,0
1633338638,2,0
1633340136,1,0
1633341038,4,0
1633341338,1,0
1633341646,1,0
1633342240,4,0
1633342839,1,0
