DateTime,AddedIPs,RemovedIPs
1628755236,227110,0
1628755502,0,227110
1628755832,227110,0
1628756102,0,227110
1628756432,227110,0
1628756701,0,227110
1628757035,227110,0
1628757902,0,227110
1628758232,227110,0
1628759101,0,227110
1628760031,227110,0
1628760302,0,227110
1628761233,227110,0
1628763302,0,227110
1628763632,227110,0
1628763902,0,227110
1628764239,227110,0
1628764502,0,227110
1628764833,227110,0
1628765102,0,227110
1628765434,227110,0
1628765702,0,227110
1628766037,227110,0
1628766901,0,227110
1628778332,227110,0
1628778602,0,227110
1628778931,227110,0
1628779202,0,227110
1628780131,227110,0
1628780402,0,227110
1628781337,227110,0
1628781602,0,227110
1628781931,227110,0
1628782202,0,227110
1628782530,227110,0
1628782802,0,227110
1628783133,227110,0
1628783401,0,227110
1628783731,227110,0
1628784002,0,227110
1628784933,227110,0
1628785202,0,227110
1628785532,227110,0
1628785802,0,227110
1628786131,227110,0
1628786402,0,227110
1628786737,227110,0
1628787002,0,227110
1628787330,227110,0
1628787602,0,227110
1628788536,227110,0
1628788802,0,227110
1628789731,227110,0
1628790002,0,227110
1628790931,227110,0
1628791202,0,227110
1628792136,227110,0
1628792402,0,227110
1628792732,227110,0
1628793002,0,227110
1628794532,227110,0
1628824816,0,186735
1628825118,186735,0
1628825426,0,1
1628825715,0,196162
1628826018,196162,0
1628826615,0,204604
1628826917,204604,0
1628828416,0,218501
1628829028,218501,0
1628829315,0,226431
1628829618,226431,0
1628830215,1,232129
1628830517,232129,1
1628832315,0,108623
1628832632,108623,0
1628833213,0,116055
1628833528,116055,0
1628834113,0,124464
1628834422,124464,0
1628835014,1,133534
1628835321,133534,1
1628835614,0,223840
1628835913,86564,0
1628836222,137276,0
1628836514,0,231035
1628836813,88386,0
1628837119,142649,0
1628837416,0,176855
1628837713,29867,0
1628838020,146988,0
1628838613,0,154573
1628838920,154573,0
1628839512,0,162569
1628839819,162569,0
1628840412,0,165763
1628840719,165763,0
1628841310,0,168494
1628841619,168494,0
1628842212,0,172054
1628842519,172054,0
1628843112,0,176582
1628843421,176582,0
1628844011,0,199526
1628844318,199526,0
1628844911,0,211815
1628845219,211815,0
1628872815,0,22080
1628873118,22080,0
1628877014,0,221914
1628877618,221914,0
1628878813,0,232132
1628879417,232132,0
1628880317,0,1
1628904016,0,175077
1628904622,175077,0
1628904915,1,182677
1628905518,182677,1
1628905815,0,191064
1628906421,191064,0
1628907616,0,203178
1628908222,203178,0
1628908514,0,211816
1628909119,211816,0
1628913620,0,1
1628924413,1,225821
1628925618,225821,1
1628944818,0,1
1628948111,0,218034
1628948416,218034,0
1628949012,1,225820
1628949316,225820,1
1628959814,1,108134
1628960417,108134,1
1628961614,0,119476
1628962218,119476,0
1628962515,0,127493
1628963116,127493,0
1628963414,0,132470
1628964017,132470,0
1628966714,0,62221
1628967616,1,9278
1628968515,0,9061
1628978737,80559,0
1628999713,0,130791
1629000027,130791,0
1629000615,0,136686
1629000928,136686,0
1629002414,0,146043
1629002725,146043,0
1629003313,0,151167
1629003629,151167,0
1629004215,0,160399
1629004523,160399,0
1629004818,0,9650
1629005429,9650,0
1629005718,1,16055
1629006014,1,152896
1629006325,168950,1
1629006912,0,174092
1629007226,174092,0
1629007812,1,181247
1629008128,181247,1
1629008713,0,186005
1629009023,186005,0
1629009612,1,191429
1629009926,191429,1
1629010512,0,196161
1629010820,196161,0
1629011413,0,202818
1629011721,202818,0
1629012313,0,205660
1629012619,205660,0
1629013212,0,212814
1629013519,212814,0
1629014112,0,218866
1629014420,218866,0
1629015013,0,225620
1629015319,225620,0
1629015912,0,228748
1629016219,228748,0
1629016811,1,231772
1629017119,231772,1
1629018015,0,141661
1629018915,0,4597
1629019814,0,7755
1629020713,1,6064
1629021614,1,6514
1629022512,1,13388
1629023413,0,14740
1629024311,1,6717
1629033628,201433,1
1629041717,1,123822
1629042329,123822,1
1629042619,0,128806
1629043226,128806,0
1629044418,1,136300
1629045028,136300,1
1629045317,0,143167
1629045919,143167,0
1629046215,0,149671
1629046821,149671,0
1629047115,0,155627
1629047719,155627,0
1629048016,1,163447
1629048642,163447,1
1629051937,0,1
1629052539,0,1
1629053441,0,1
1629053736,0,1
1629062139,0,1
1629150345,0,1
1629152141,0,1
1629153044,0,2
1629153638,0,1
1629153945,0,1
1629154237,0,2
1629154536,0,2
1629171945,1,0
1629180044,1,0
1629180635,22,0
1629226845,1,0
1629227437,3,0
1629231037,1,0
1629242437,0,1
1629278437,1,0
1629278737,2,0
1629279948,0,1
1629316842,0,1
1629347442,0,1
1629369337,0,1
1629389436,1,0
1629482137,0,2
1629486636,0,1
1629532536,1,0
1629549940,1,0
1629550239,1,0
1629564638,0,1
1629565244,1,0
1629569138,0,1
1629580237,1,0
1629635443,1,0
1629640243,1,0
1629654345,0,1
1629661238,0,1
1629665440,0,1
1629666045,1,0
1629682247,0,1
1629692438,0,1
1629708036,0,1
1629724540,1,0
1629742837,0,1
1629746142,0,1
1629760236,1,0
1629764142,0,1
1629781837,0,1
1629836147,1,0
1629845144,1,0
1629851739,2,0
1629852038,1,0
1629876644,0,1
1629878742,1,0
1629882044,0,1
1629883239,1,0
1629919841,1,0
1629921938,1,0
1629923440,0,1
1629925837,0,1
1629926437,0,1
1629936638,1,0
1629967837,0,1
1629975040,0,1
1630017339,2,0
1630093841,1,2
1630190137,1,0
1630240243,0,1
1630258538,0,213
1630274452,0,3
1630284937,0,1
1630336837,0,1
1630369238,0,1
1630371646,0,1
1630372237,0,1
1630374345,0,1
1630374637,0,1
1630375837,0,1
1630377337,0,1
1630377944,0,1
1630426543,3,0
1630457738,11,0
1630458044,23,0
1630458638,5,0
1630460439,1,0
1630473343,0,1
1630483540,6,0
1630483837,2,0
1630484143,6,0
1630484438,2,0
1630492541,1,0
1630529442,1,0
1630543550,330,0
1630549239,0,1
1630549541,0,30
1630568439,1,0
1630584347,1,0
1630610142,0,2
1630610440,0,1
1630627840,115,0
1630628439,9,0
1630629641,5,0
1630632651,2,0
1630661137,0,1
1630662640,0,1
1630669242,0,1
1630670452,0,1
1630676441,0,1
1630687848,0,1
1630689640,0,1
1630700438,0,1
1630714240,0,1
1630718439,4,0
1630718739,3,0
1630719052,5,0
1630719337,3,0
1630719940,1,0
1630725038,0,2
1630725345,0,1
1630734038,1,0
1630734640,0,1
1630735541,0,1
1630739440,0,1
1630758038,0,1
1630773340,0,1
1630781438,0,1
1630784139,1,0
1630795240,0,1
1630818045,0,1
1630826142,0,1
1630841137,1,0
1630849841,1,0
1630850138,3,0
1630869343,0,1
1630895739,1,0
1630908638,0,1
1630909239,0,1
1630918241,1,0
1630940137,0,1
1630945840,0,1
1630952436,0,1
1630959343,1,0
1630963539,2,0
1630968936,0,1
1630983338,0,1
1631003737,0,1
1631004350,0,1
1631004937,0,1
1631027143,0,1
1631031341,0,1
1631040343,0,1
1631057442,0,1
1631059840,0,1
1631063747,0,1
1631078144,0,1
1631103637,0,1
1631113539,1,0
1631115638,0,1
1631116536,0,1
1631118337,0,1
1631120137,0,1
1631148038,0,1
1631198136,0,1
1631217938,0,1
1631231737,0,1
1631232340,0,1
1631232639,0,1
1631234741,0,1
1631236838,210,0
1631247037,0,1
1631251238,0,1
1631265344,1,0
1631270739,1,0
1631271648,0,1
1631290839,1,0
1631303736,1,0
1631310040,1,0
1631346641,0,1
1631385943,0,2
1631401836,1,0
1631409937,0,1
1631444446,1,0
1631446537,1,0
1631455837,0,1
1631461544,0,1
1631488838,0,1
1631499038,0,1
1631500243,0,1
1631511941,0,1
1631520341,1,0
1631544638,0,1
1631554839,3,0
1631556637,0,1
1631582141,0,1
1631586337,1,0
1631587840,0,1
1631603437,0,1
1631637045,0,1
1631670340,0,1
1631675747,1,0
1631678741,0,1
1631714737,0,1
1631750450,1,0
1631770241,0,1
1631782848,0,1
1631793042,1,0
1631855436,0,1
1631859038,47,0
1631873438,1,0
1631896839,0,1
1631941837,0,1
1631951438,0,1
1631980537,0,1
1631992541,0,1
1632039040,1,0
1632039639,0,36
1632040245,0,1
1632049841,0,1
1632063041,64,0
1632064544,136,0
1632066641,120,0
1632070847,60,0
1632071141,46,0
1632071441,129,0
1632071746,86,0
