DateTime,AddedIPs,RemovedIPs
1619735448,256,0
1619791257,0,768
1619795749,512,0
1619803961,256,0
1619814039,256,256
1619836253,0,256
1619875003,512,0
1619885855,256,0
1619889342,0,256
1619900516,256,256
1619960458,0,1024
1619968537,768,0
1619973039,256,256
1619982043,256,0
1619985649,0,256
1620047672,1024,0
1620052236,256,0
1620054999,0,768
1620064843,256,0
1620068443,256,0
1620080432,0,256
1620134155,0,768
1620141303,768,0
1620144933,0,256
1620154843,0,512
1620166885,0,256
1620224103,512,0
1620227703,0,512
1620241244,256,0
1620306926,512,0
1620309639,0,512
1620310581,0,256
1620313239,256,0
1620347403,0,256
1620360961,256,0
1620393352,0,768
1620396904,512,0
1620397838,256,0
1620399640,0,256
1620418804,256,0
1620433803,256,0
1620447313,0,256
1620483303,0,512
1620484261,0,256
1620486902,1024,0
1620505096,0,256
1620519353,0,256
1620533755,256,0
1620572457,0,1024
1620573304,256,0
1620574237,256,0
1620655864,512,0
1620659703,0,512
1620663303,0,256
1620674207,256,0
1620738902,768,0
1620742504,0,256
1620757843,256,0
1620759644,256,0
1620825303,0,1024
1620832502,768,0
1620837036,256,0
1620844240,0,256
1620849658,0,256
1620851445,256,0
1620907902,256,0
1620918039,0,512
1620929768,0,256
1620993690,0,512
1621005431,512,0
1621009019,0,256
1621016388,256,0
1621037758,0,256
1621081144,256,0
1621092090,0,512
1621102846,256,0
1621108870,0,256
1621117802,256,0
1621178107,256,0
1621203847,0,256
1621264503,512,256
1621274456,0,256
1621290193,256,0
1621350060,0,512
1621350903,512,0
1621376249,0,256
1621430103,512,0
1621436438,0,512
1621449043,512,256
1621462664,256,0
1621515656,0,512
1621516525,768,0
1621534734,0,256
1621549803,0,256
1621556766,0,256
1621602061,0,512
1621606551,768,0
1621692904,0,256
1621715003,256,0
1621778472,0,768
1621801352,256,0
1621862152,768,0
1621873153,0,256
1621881002,256,0
1621894551,0,256
1621895084,256,0
1621947658,0,512
1621948671,0,256
1621952136,256,0
1621969246,256,0
1621980952,0,256
1622037676,0,512
1622042137,256,0
1622045956,256,0
1622054744,0,256
1622124936,512,0
1622128539,0,256
1622151003,0,256
1622211398,0,256
1622240764,256,0
1622297735,768,0
1622300437,0,256
1622305103,256,0
1622327042,0,256
1622384275,512,768
1622391529,256,256
1622469664,0,512
1622470503,1024,0
1622471434,256,0
1622476852,0,256
1622485248,256,0
1622493002,256,0
1622549779,768,0
1622556046,0,768
1622557005,0,256
1622571498,256,256
1622578889,0,256
1622636153,0,1024
1622733495,256,0
1622759029,256,0
1622819760,0,256
1622902504,768,0
1622905236,256,0
1622906173,0,256
1622908846,0,256
1622917175,256,0
1622919645,256,0
1622988057,0,768
1622991659,0,256
1622996292,768,0
1623002445,0,256
1623025238,256,0
1623071703,768,0
1623081644,0,768
1623093804,256,0
1623097398,256,0
1623111354,0,256
1623158147,0,256
1623165337,256,0
1623169081,0,256
1623176308,0,256
1623178845,0,256
1623187409,256,0
1623190550,0,256
1623248125,256,0
1623251863,0,256
1623256238,256,0
1623284850,0,256
1623334503,0,256
1623338219,256,0
1623342638,256,0
1623349098,256,0
1623370552,0,256
1623417303,512,0
1623424629,0,256
1623428155,0,256
1623429039,256,0
1623436243,256,0
1623456953,0,256
1623503703,0,768
1623510903,768,0
1623524441,256,0
1623532892,0,256
1623537047,256,0
1623540076,256,0
1623597303,0,512
1623615342,0,256
1623625247,0,256
1623679258,0,512
1623680102,512,0
1623695439,256,0
1623716397,0,256
1623762923,256,0
1623766503,0,256
1623788135,0,256
1623789045,256,0
1623795347,0,256
1623866695,256,0
1623875446,0,256
1623889856,256,0
1623938741,512,0
1623947439,0,256
1623968103,0,256
1623976246,0,256
1624025119,256,0
1624048247,0,256
1624111512,512,256
1624118704,0,256
1624123341,256,0
1624196759,0,512
1624198662,512,0
1624284359,256,0
1624285838,256,0
1624293041,0,256
1624336261,0,256
1624370462,0,256
1624371336,256,0
1624415458,256,0
1624457702,0,512
1624464321,512,0
1624473039,0,256
1624494650,256,0
1624501851,0,256
1624547703,256,0
1624550670,0,512
1624580103,0,256
1624629798,256,0
1624634139,0,256
1624645839,256,0
1624713099,512,0
1624732243,256,256
1624753854,0,256
1624799475,0,256
1624806903,256,0
1624811437,0,256
1624833047,256,0
1624839349,0,256
1624893303,256,0
1624897836,256,0
1624912244,0,256
1624972503,256,0
1624983303,0,256
1624997975,0,256
1625005332,256,0
1625066133,256,0
1625070635,0,256
1625091336,0,256
1625113026,256,0
1625148934,512,0
1625157039,0,256
1625178651,256,0
1625200258,0,256
1625234468,0,256
1625235304,512,0
1625321704,0,256
1625329827,0,256
1625351437,256,0
1625355948,0,256
1625407827,256,512
1625439638,256,0
1625490904,512,0
1625495435,256,0
1625502630,256,0
1625524241,0,256
1625576457,0,1024
1625580082,256,0
1625666463,0,256
1625682638,256,0
1625704250,0,256
1625757098,256,0
1625757302,0,256
1625841902,0,256
1625862641,256,0
1625925624,256,0
1625949039,0,256
1626011103,0,256
1626021029,256,0
1626034502,0,256
1626182103,512,0
1626222645,256,0
1626272103,0,256
1626275297,256,0
1626361360,0,512
1626366633,0,256
1626381038,256,0
1626394752,256,0
1626447648,0,256
1626467429,256,256
1626472844,256,0
1626474641,256,0
1626520238,256,0
1626534903,0,256
1626561044,0,256
1626568251,256,0
1626611451,0,512
1626624030,256,0
1626632103,0,256
1626653813,0,256
1626710431,0,256
1626712234,256,0
1626719437,256,0
1626786902,768,0
1626799539,0,256
1626804903,0,256
1626805842,256,0
1626872455,0,512
1626876633,256,0
1626913419,256,0
1626961558,0,512
1626966176,256,0
1626971437,0,256
1627052455,0,256
1627060503,768,0
1627085702,0,256
1627146034,0,256
1627165839,0,256
1627171341,256,0
1627173045,256,0
1627220702,0,256
1627225856,256,0
1627252230,256,0
1627390840,0,512
1627394428,256,0
1627396231,256,0
1627414202,256,0
1627433152,0,256
1627479953,0,768
1627483524,512,0
1627565441,0,512
1627601276,256,0
1627682281,3328,0
1627686184,0,512
1627767791,0,3328
1627780378,2816,0
1627823404,512,0
1627829001,1024,0
1627862288,256,0
1627866757,0,768
1627870548,256,0
1627911803,0,1792
1627915404,0,1024
1627947789,512,768
1627952291,256,0
1627964636,256,0
1628030611,0,1024
1628039587,1280,0
1628047656,0,256
1628052189,0,256
1628096281,768,0
1628100782,256,0
1628121492,256,768
1628179113,0,768
1628187214,0,256
1628195528,0,256
1628206956,0,256
1628211492,1024,0
1628227656,0,256
1628296955,0,1024
1628300584,1280,0
1628354577,1024,0
1628383389,0,512
1628437409,0,1280
1628452716,0,256
1628461757,0,256
1628473391,1024,0
1628558473,768,1024
1628638955,0,768
1628643482,1024,0
1628726319,0,1024
1628730791,2048,0
1628813621,0,2048
1628816285,1280,0
1628883778,768,0
1628887379,256,0
1628891882,256,0
1628905387,0,1024
1628970206,0,768
1628974685,1024,256
1628986647,0,256
1629059253,0,1280
1629075490,1280,0
1629157418,0,1024
1629161886,768,0
1629178953,0,256
1629245587,1024,768
1629331124,0,1024
1629336368,1536,0
1629422852,256,768
1629492151,512,0
1629495781,256,0
1629503884,0,768
1629578255,0,512
1629589352,768,256
1629593891,768,0
1629675807,0,1024
1629679384,512,0
1629765814,0,1280
1629770288,768,0
1629775651,256,0
1629783793,256,0
1629807931,256,0
1629853084,768,768
1629893596,0,256
1629938551,0,1280
1629942178,1280,0
1629987185,256,0
1630003375,1024,0
1630023182,256,0
1630027650,0,1024
1630039350,256,0
1630092640,0,1280
1630108685,1024,0
1630113187,0,256
1630145602,0,256
1630194150,0,1280
1630202286,1536,0
1630287749,512,1024
1630371482,768,1024
1630457007,0,768
1630460549,1024,0
1630521748,768,0
1630546984,0,512
1630603821,1536,768
1630608148,0,256
1630619915,0,256
1630632449,2048,0
1630640549,256,0
1630677501,1280,768
1630718666,1024,1792
1630722507,256,0
1630734148,0,256
1630762947,0,2304
1630799911,0,1024
1630804379,768,0
1630808848,0,256
1630888381,0,768
1630892547,256,0
1630978047,256,256
1631051875,512,0
1631055476,0,256
1631133791,0,512
1631138275,512,0
1631155346,256,0
1631220146,0,512
1631238146,1024,256
1631321879,0,512
