DateTime,AddedIPs,RemovedIPs
1632974526,8,2
1632975126,3,0
1632975725,6,3
1632976326,3,9
1632976925,3,0
1632978126,4,16
1632979326,2,0
1632980525,4,8
1632981126,1,21
1632981725,2,0
1632982325,4,6
1632982925,1,4
1632983526,6,0
1632984125,9,8
1632985325,3,20
1632985924,3,0
1632986525,7,2
1632987125,3,0
1632987725,7,5
1632988325,18,0
1632988925,5,3
1632989525,14,6
1632990125,7,15
1632990726,2,15
1632991325,8,0
1632992525,4,11
1632993125,6,0
1632993725,3,13
1632994325,3,2
1632994924,8,0
1632996125,5,16
1632996725,6,15
1632997325,3,0
1632997925,5,8
1632998525,4,0
1632999725,6,16
1633000925,5,0
1633001526,6,9
1633002125,2,10
1633002725,2,0
1633003326,5,0
1633004525,5,7
1633005726,6,36
1633006325,4,0
1633006925,2,3
1633007525,5,5
1633008125,1,0
1633008725,4,13
1633009325,6,0
1633009925,3,7
1633010525,4,14
1633011125,2,0
1633011725,5,0
1633012325,6,2
1633012924,2,5
1633014124,3,2
1633014725,1,0
1633015325,3,0
1633015925,3,6
1633017124,8,25
1633017725,5,0
1633018324,2,4
1633018925,2,2
1633019525,4,0
1633020125,1,0
1633020724,8,5
1633021324,8,8
1633021925,10,2
1633022525,6,0
1633023125,2,1
1633023724,5,7
1633024324,5,0
1633024924,6,9
1633026124,5,4
1633027325,7,2
1633027925,22,3
1633028525,11,1
1633029124,3,0
1633030325,16,7
1633030924,15,10
1633031525,12,5
1633032125,4,9
1633032724,2,0
1633033324,6,6
1633034525,5,5
1633035125,9,6
1633036325,6,5
1633036924,5,6
1633037525,4,3
1633038125,4,9
1633038724,2,0
1633039325,9,6
1633039925,22,0
1633040524,0,2
1633041125,3,10
1633041725,5,0
1633042324,4,13
1633042925,6,0
1633044125,6,29
1633044725,3,3
1633045324,1,0
1633045925,3,4
1633046525,5,0
1633047124,8,1
1633047724,5,3
1633048325,3,2
1633048925,4,9
1633050125,6,1
1633050724,8,5
1633051324,5,0
1633051925,7,0
1633052525,3,7
1633053125,1,0
1633053724,6,4
1633054325,6,2
1633054925,6,0
1633056124,5,8
1633057325,4,9
1633058525,1,6
1633059125,5,5
1633059725,3,5
1633060325,4,2
1633060924,4,0
1633061525,4,7
1633062125,4,15
1633062725,7,5
1633063324,3,1
1633063925,2,5
1633064525,3,0
1633065125,1,2
1633065725,4,2
1633066925,4,14
1633067525,5,3
1633068125,4,0
1633068725,2,7
1633069325,2,0
1633069925,4,4
1633070525,1,0
1633071125,5,6
1633072325,2,9
1633072925,6,0
1633074125,2,6
1633075325,10,4
1633075925,1,12
1633076525,4,0
1633077125,7,0
1633077725,3,3
1633078324,0,11
1633078924,13,5
1633080124,5,17
1633080725,16,0
1633081324,2,0
1633082524,9,18
1633083725,5,1
1633084324,9,17
1633084924,4,0
1633085524,10,10
1633086124,1,2
1633087324,4,3
1633087925,6,0
1633088525,2,5
1633089125,6,5
1633089724,3,7
1633090324,5,0
1633090924,4,2
1633091525,4,2
1633092124,4,7
1633092725,10,4
1633093325,4,0
1633094524,4,10
1633095125,3,0
1633095724,8,0
1633096925,7,0
1633097525,0,1
1633098125,4,1
1633098725,12,5
1633099324,2,3
1633099924,7,3
1633100525,4,0
1633101125,5,0
1633101725,25,0
1633102325,5,5
1633102924,3,0
1633104125,2,3
1633104725,6,1
1633105325,3,0
1633105926,0,1
1633106525,7,0
1633107725,7,4
1633108925,6,1
1633109525,9,4
1633110125,3,0
1633111325,2,7
1633111925,1,0
1633112524,4,9
1633113125,3,0
1633113725,4,12
1633114325,1,0
1633115525,4,32
1633116124,3,0
1633116725,4,16
1633117325,3,7
1633118524,6,0
1633119725,4,2
1633120925,10,8
1633121525,2,0
1633122125,4,5
1633122724,8,1
1633123324,2,6
1633123925,0,4
1633124525,4,1
1633125725,4,8
1633126325,4,0
1633126925,1,3
1633128124,8,0
1633129325,6,10
1633129925,4,6
1633131125,14,7
1633131724,1,6
1633132924,0,5
1633134125,4,6
1633135324,4,6
1633135925,10,1
1633136525,4,0
1633138325,11,4
1633138925,4,5
1633139525,6,14
1633140125,2,0
1633141324,5,32
1633141925,3,0
1633143124,4,0
1633143725,3,0
1633144325,1,0
1633145525,5,0
1633146125,4,0
1633147325,5,0
1633148524,1,0
1633149125,2,0
1633149724,2,0
1633151525,1,0
1633152124,5,0
1633152725,0,3
1633153325,3,0
1633154525,36,3
1633155725,8,1
1633156924,14,13
1633157524,3,7
1633158125,9,11
1633158724,5,0
1633159925,14,19
1633160524,1,2
1633161724,7,6
1633162924,9,0
1633163525,3,4
1633164724,2,2
1633165324,7,2
1633165924,5,3
1633166524,4,3
1633167725,8,1
1633168924,2,3
1633169524,4,0
1633170724,11,35
1633171324,3,0
1633172524,5,15
1633173124,2,5
1633174325,4,6
1633174925,2,0
1633175524,4,4
1633176125,2,0
1633176724,6,1
1633177324,4,6
1633177924,2,0
1633178525,6,15
1633179125,6,12
1633179725,5,4
1633180325,2,6
1633180925,0,2
1633182125,13,3
1633182725,7,27
1633183325,3,0
1633184524,0,4
1633185125,6,3
