DateTime,AddedIPs,RemovedIPs
1632750725,1,0
1632751325,1,0
1632753725,9,0
1632754324,1,0
1632756125,1,2
1632757325,1,0
1632759125,4,0
1632760925,0,1
1632763325,1,0
1632765126,1,0
1632766325,1,8
1632768126,1,0
1632769325,15,0
1632769925,7,4
1632771126,8,1
1632771725,1,2
1632772925,2,0
1632773525,4,0
1632774125,0,3
1632774726,2,0
1632775925,7,1
1632776525,2,0
1632777125,1,0
1632777725,2,0
1632778325,2,1
1632778924,2,3
1632780125,2,1
1632780725,2,0
1632781325,5,0
1632783726,2,0
1632784925,4,2
1632785526,3,0
1632786125,3,1
1632787326,3,3
1632788525,2,4
1632789126,3,0
1632789725,1,3
1632790925,0,1
1632792125,0,4
1632792725,1,0
1632794525,1,11
1632795725,39,1
1632796325,1,0
1632797525,1,2
1632798725,1,0
1632799324,2,0
1632799925,1,3
1632801726,0,3
1632802325,1,0
1632802925,1,3
1632804124,1,1
1632805324,0,3
1632805924,0,2
1632807725,0,2
1632808325,1,0
1632810125,2,0
1632811324,1,3
1632811924,2,1
1632813125,2,2
1632813724,6,0
1632814325,1,1
1632816725,4,0
1632817325,0,1
1632817925,0,1
1632818525,0,2
1632820325,2,3
1632820925,1,0
1632821525,0,3
1632825125,1,1
1632825725,1,2
1632826925,2,2
1632828725,0,4
1632829325,1,2
1632831125,0,1
1632831724,0,1
1632833525,1,0
1632835926,0,1
1632837725,3,0
1632839525,0,6
1632841325,10,3
1632842525,2,16
1632843125,0,12
1632843724,1,0
1632846725,0,1
1632850325,1,0
1632850925,1,0
1632852125,1,0
1632853325,2,0
1632853925,0,1
1632855125,0,3
1632855725,1,0
1632856324,1,0
1632857525,3,0
1632858725,0,1
1632859325,1,0
1632862925,2,1
1632863525,1,4
1632864725,0,3
1632865325,1,0
1632865925,5,1
1632866525,1,0
1632867724,0,4
1632868325,1,0
1632868925,2,1
1632870725,2,0
1632871325,5,0
1632871925,1,2
1632874326,2,2
1632874925,1,0
1632876125,1,4
1632876725,1,0
1632877925,1,1
1632878524,1,3
1632879725,0,2
1632882725,1,1
1632883925,1,2
1632885125,0,1
1632886924,2,9
1632888725,5,5
1632889925,6,2
1632891125,2,5
1632892325,1,4
1632892925,0,4
1632894125,3,3
1632895325,1,2
1632896525,0,1
1632897125,1,4
1632899524,1,1
1632900124,1,0
1632902525,1,0
1632903125,1,0
1632904325,1,2
1632905525,0,1
1632906725,0,8
1632907325,3,1
1632908525,0,1
1632909725,3,0
1632910924,2,0
1632912725,1,0
1632913325,1,0
1632914525,1,0
1632915124,1,0
1632917525,1,1
1632918726,1,3
1632919325,2,0
1632921725,2,0
1632925925,0,3
1632926525,2,0
1632927125,1,2
1632927725,0,3
1632928325,1,21
1632929525,2,0
1632931325,1,2
1632932524,2,0
1632934325,2,6
1632936124,2,1
1632936725,1,0
1632938525,1,0
1632939124,0,4
1632940925,0,1
1632941525,38,1
1632942125,1,0
1632942725,1,0
1632943925,2,4
1632945125,1,0
1632946925,1,3
1632949325,1,0
1632950525,1,1
1632952325,1,1
1632954124,2,0
1632954725,1,0
1632955324,0,2
1632956525,2,6
1632957125,1,0
1632958326,0,1
1632958925,1,2
1632959525,2,0
1632961325,3,0
1632961925,1,0
1632963125,3,10
1632963725,1,0
1632964325,3,1
1632964925,0,2
1632966725,2,1
1632967326,1,1
1632968525,2,3
1632969126,2,0
1632970325,2,1
1632972125,3,2
1632972726,3,0
1632975126,0,6
1632976925,1,0
1632978126,0,1
1632979326,2,9
1632981126,0,3
1632982325,1,0
1632983526,2,0
1632984125,0,2
1632985325,1,1
1632985924,3,0
1632986525,25,1
1632987724,1,0
1632988925,0,3
1632990125,1,0
1632991325,2,3
1632992525,2,0
1632993725,2,2
1632995525,0,19
1632996725,1,0
1632999125,5,1
1633000326,2,2
1633002125,2,0
1633002725,1,1
1633003926,5,0
1633006925,2,0
1633007525,4,1
1633008725,3,0
1633009925,2,1
1633011125,3,1
1633011725,2,0
1633012325,1,2
1633013525,1,0
1633014124,3,2
1633014725,2,2
1633015925,2,2
1633016525,0,1
1633017124,1,0
1633018925,2,0
1633019525,0,2
1633021324,3,0
1633022525,1,2
1633023125,2,0
1633023724,0,2
1633024324,0,1
1633024924,0,3
1633027325,2,0
1633027925,1,0
1633028525,1,1
1633029124,1,0
1633030325,1,2
1633032724,6,3
1633033324,1,1
1633034525,1,0
1633035125,0,1
1633036325,1,1
1633038125,2,0
1633039325,2,3
1633039925,1,0
1633040524,4,0
1633042324,0,3
1633044124,1,0
1633044725,62,0
1633045324,3,0
1633046525,2,9
1633047724,0,9
1633048325,3,27
1633048925,0,13
1633049525,1,0
1633050724,2,2
1633051324,2,0
1633051925,0,6
1633052525,2,0
1633053125,1,0
1633054325,0,4
1633054925,1,0
1633056124,4,3
1633056724,0,1
1633057325,4,1
1633058525,5,1
1633060325,0,2
1633061525,4,2
1633062125,3,1
1633063324,2,21
1633064525,3,0
1633065725,5,22
1633066326,0,3
1633068125,0,2
1633068725,2,4
1633069325,1,1
1633070525,4,0
1633071125,0,2
1633072325,2,0
1633074125,2,1
1633075325,8,0
1633077125,0,1
1633078924,3,3
1633079524,2,0
1633080124,4,0
1633080725,3,3
1633082524,2,1
1633083724,3,3
1633084324,0,2
1633085524,6,0
1633086124,1,1
1633086724,0,1
1633087925,0,3
1633088525,1,0
1633089724,0,1
1633090324,3,0
1633095125,3,2
1633095724,1,0
1633096925,3,0
1633098125,3,6
1633098725,1,0
1633099324,1,1
1633099924,1,0
1633100525,1,0
1633101125,0,2
1633101725,1,0
1633102325,1,0
1633104125,1,15
1633105325,0,1
1633107725,1,0
1633108325,1,4
1633109525,1,0
1633110125,1,0
1633111325,49,1
1633112524,1,0
1633113725,3,2
1633114325,1,0
1633114924,1,2
1633116124,1,2
1633118524,2,0
1633119725,5,5
1633121525,3,0
1633122724,2,6
1633123324,2,0
1633123925,0,2
1633125124,0,1
1633126325,5,3
1633128124,0,1
1633129925,3,0
1633130524,2,0
1633131724,2,0
1633132324,2,0
1633134125,2,0
1633134725,2,0
1633135324,1,3
1633135925,4,0
1633136525,0,1
1633137725,1,1
1633138325,0,3
1633141324,1,1
1633144325,4,0
1633144924,3,0
1633146125,2,0
1633146725,3,0
1633149124,1,0
1633150924,1,0
1633153325,3,2
1633154525,1,2
1633155725,0,2
1633156324,0,1
1633157524,0,1
1633159324,0,1
1633161724,3,0
1633162924,2,2
1633163525,1,0
1633164724,3,4
1633165924,3,0
1633166524,1,1
1633168325,0,1
1633169524,0,1
1633170124,2,0
1633171324,1,0
1633172524,2,0
1633173124,1,1
1633174325,0,2
1633175524,0,1
1633179125,2,0
1633179725,0,2
1633180925,2,0
1633182125,2,0
1633183325,0,2
1633185724,0,1
1633186324,0,3
1633187525,2,22
1633188725,0,9
1633191124,1,0
1633193524,2,2
1633195324,1,2
1633196524,1,0
1633197724,0,2
1633198924,1,0
1633199525,0,1
1633200124,1,0
1633201325,0,3
1633202525,2,1
1633204324,0,1
1633204924,1,0
1633205524,1,0
1633206124,1,0
1633207324,0,1
1633208524,0,1
1633210324,1,2
1633210924,2,1
1633211524,1,0
1633213924,1,0
1633214524,1,0
1633216324,2,1
1633217524,6,0
1633218125,2,2
1633219324,2,0
1633221125,0,2
1633221724,3,0
1633222924,2,3
1633224724,1,0
1633225324,0,2
1633227725,1,0
1633228924,0,2
1633229524,2,0
1633230725,2,1
1633231324,1,0
1633233124,6,1
1633234925,3,2
1633236124,1,2
1633236725,2,2
1633238524,0,2
1633240324,1,1
1633242124,1,0
1633243324,1,0
1633244524,0,1
1633245125,1,0
1633245724,0,1
1633246924,1,0
1633249324,4,1
1633251724,1,0
1633252325,1,2
1633255924,0,4
1633259523,0,1
1633260725,1,3
1633261924,1,0
1633264925,0,1
1633266725,0,1
1633269724,2,0
1633270324,1,0
1633271525,1,0
1633272725,2,2
1633273925,2,10
1633275125,2,3
1633278124,2,0
1633279925,2,0
1633280525,0,1
1633281725,1,0
1633282924,1,2
1633284125,0,2
1633287124,2,5
1633288925,1,1
1633290124,2,3
1633291925,0,2
1633293126,6,3
1633294325,3,1
1633294925,1,0
1633296125,8,2
1633297325,5,2
1633297924,5,0
1633299125,2,4
1633300326,0,2
1633302125,9,3
1633302725,0,2
1633303926,7,1
1633304525,4,0
1633305126,3,8
1633305725,4,0
1633306926,2,6
1633308126,9,4
1633309325,1,2
1633309925,3,2
1633311126,6,3
1633312325,2,0
1633312925,1,7
1633314126,3,0
1633315325,1,3
1633316525,3,0
1633317126,1,0
1633317725,1,0
1633318925,2,2
1633320126,7,0
1633321326,9,2
1633321926,8,1
1633323125,3,0
1633323726,3,3
1633324925,3,2
1633326125,4,6
1633327326,2,0
1633328525,6,1
1633329126,4,2
1633330925,1,3
1633331525,1,7
1633332725,6,0
1633333925,2,0
1633335125,1,2
1633336925,1,2
1633337525,1,0
1633338125,4,0
1633338726,2,1
1633339925,9,0
1633340525,1,0
1633341125,2,1
1633342325,7,1
