DateTime,AddedIPs,RemovedIPs
1631555102,185,0
1631557802,119,0
1631558702,26,0
1631573102,823,0
1631581203,281,3376
1631584803,157,0
1631586602,68,0
1631590202,174,0
1631593803,123,0
1631595602,63,1
1631599202,148,0
1631607302,368,0
1631608203,31,0
1631610902,141,0
1631614502,173,0
1631621702,371,0
1631622602,35,0
1631629802,399,0
1631633402,173,0
1631637002,183,0
1631640601,127,0
1631644202,138,0
1631647802,131,0
1631650502,93,0
1631651403,42,0
1631654102,97,0
1631658602,161,0
1631659502,34,0
1631662202,112,0
1631665803,90,4350
1631673003,243,0
1631673902,27,0
1631677502,126,0
1631680202,87,0
1631683802,154,0
1631685603,74,0
1631687402,77,0
1631692803,299,0
1631695502,130,0
1631699102,155,0
1631702702,199,0
1631706302,178,0
1631709902,177,0
1631717102,330,0
1631720702,329,0
1631727902,330,0
1631728802,45,0
1631732402,187,0
1631736002,169,0
1631739602,162,0
1631743203,135,0
1631745902,66,0
1631746802,31,0
1631750402,113,3729
1631753102,62,0
1631754003,39,0
1631757603,134,0
1631762102,234,0
1631765702,143,0
1631767502,57,0
1631769302,86,0
1631774702,281,0
1631777402,129,0
1631778302,32,0
1631781002,128,0
1631781902,52,0
1631785502,172,0
1631789102,208,0
1631791802,140,0
1631796302,253,0
1631799002,137,0
1631799902,47,0
1631802602,154,0
1631803502,35,0
1631806202,135,0
1631810702,201,0
1631813402,126,0
1631817002,181,0
1631817902,47,0
1631825102,291,0
1631828702,157,0
1631833202,157,0
1631835902,103,0
1631839502,118,3819
1631843102,139,0
1631844003,22,0
1631847602,148,0
1631851203,137,0
1631854803,130,0
1631858403,132,0
1631862003,166,0
1631865603,161,0
1631868302,145,0
1631869202,39,0
1631876403,419,0
1631880003,168,0
1631883602,214,0
1631888103,187,0
1631891702,183,0
1631894402,116,0
1631895302,28,0
1631898903,219,0
1631901603,87,0
1631905202,116,0
1631906102,38,0
1631908802,60,0
1631911502,80,0
1631912402,20,0
1631913302,24,0
1631916003,69,0
1631919603,92,0
1631921402,53,0
1631925002,92,3819
1631925902,26,0
1631930403,148,0
1631934003,117,0
1631936702,73,0
1631937602,28,0
1631941202,135,0
1631943902,102,0
1631944802,35,0
1631947503,108,0
1631948402,23,0
1631954702,196,0
1631958302,115,0
1631961902,138,0
1631966403,218,0
1631973602,311,0
1631977202,121,0
1631984403,235,0
1631991602,247,0
1631992502,34,0
1631995202,76,0
1632002402,216,0
1632006002,110,0
1632009603,89,3711
1632010502,33,0
1632013203,90,0
1632017702,152,0
1632021302,102,0
1632024903,104,0
1632027602,82,0
1632028502,16,0
1632032102,81,0
1632040202,216,0
1632046502,176,0
1632047402,27,0
1632051001,126,0
1632054602,107,0
1632056402,87,0
1632058202,60,0
1632062702,136,0
1632063602,23,0
1632066302,97,0
1632068102,66,0
1632069902,42,0
1632073502,111,0
