DateTime,AddedIPs,RemovedIPs
1618908260,33,0
1618923127,42,1
1618952457,38,1
1618981927,56,0
1619011219,58,0
1619040484,33,0
1619069768,29,0
1619099060,81,1
1619128324,42,1
1619157617,53,0
1619187127,37,0
1619216407,40,0
1619245700,53,0
1619274982,38,0
1619304246,38,1
1619333524,48,0
1619362814,31,0
1619392328,42,0
1619421605,31,0
1619450885,50,0
1619480166,70,0
1619509446,36,0
1619538727,51,4
1619568040,45,0
1619597286,58,0
1619626805,44,0
1619656089,37,1
1619685382,37,0
1619714646,44,0
1619743930,41,1
1619773229,39,0
1619802728,31,1
1619832009,22,0
1619846651,37,0
1619890572,16,0
1619919853,36,0
1619949140,43,0
1619963811,14,0
1620000499,24,0
1620037459,43,0
1620052328,36,0
1620104177,18,0
1620118816,39,0
1620148098,119,0
1620177368,24,0
1620206662,44,0
1620221286,44,0
1620265221,18,0
1620294485,16,0
1620309123,47,0
1620353045,31,0
1620382344,39,0
1620397224,30,1
1620426727,25,0
1620456006,31,0
1620485533,29,0
1620514834,24,0
1620544083,39,0
1620573605,24,0
1620602887,20,0
1620632186,26,0
1620661451,27,0
1620690749,43,1
1620720263,53,0
1620749765,34,0
1620779063,29,0
1620808808,39,0
1620838179,33,0
1620867364,30,0
1620896649,41,0
1620926182,36,0
1620955444,37,0
1620992406,18,0
1621007060,61,0
1621036327,26,0
1621065630,34,0
1621095144,20,0
1621124420,38,0
1621153683,21,0
1621182987,13,0
1621212244,29,0
1621241546,27,0
1621270833,37,0
1621300328,49,1
1621329621,14,0
1621359130,31,0
1621388421,40,0
1621417930,32,0
1621463044,51,11
1621477690,28,0
1621506969,27,0
1621521623,25,3
1621566032,19,0
1621595534,34,0
1621610189,32,0
1621639451,45,0
1621668969,30,0
1621698511,36,0
1621728037,19,0
1621757530,27,0
1621786826,20,0
1621816091,29,0
1621845605,26,1
1621875128,37,0
1621904889,42,0
1621934183,25,0
1621963449,19,0
1621992971,1044,1
1622022246,31,0
1622052016,28,2
1622081291,18,0
1622110587,28,0
1622140103,31,0
1622169385,23,1
1622198907,26,0
1622228185,36,0
1622257466,26,0
1622286731,29,0
1622316247,16,0
1622345531,55,0
1622374826,29,0
1622404087,26,0
1622433382,24,0
1622462665,33,0
1622491949,47,0
1622521287,21,1
1622535845,36,0
1622579767,44,1
1622594414,28,0
1622623702,14,0
1622653293,34,1
1622682486,37,0
1622712008,20,0
1622741531,52,0
1622770811,38,1
1622800332,24,0
1622829622,35,0
1622858903,23,0
1622888650,24,0
1622918426,22,0
1622947930,32,0
1622977462,13,0
1623006735,24,0
1623036247,23,0
1623066028,35,0
1623095546,32,0
1623124811,30,0
1623154114,22,0
1623183610,43,0
1623213130,45,0
1623228029,47,0
1623272185,50,2
1623301469,37,0
1623316094,31,0
1623345392,56,1
1623375146,35,0
1623404668,36,0
1623433942,34,2
1623463449,26,0
1623493228,32,0
1623522729,37,1
1623552252,33,0
1623581776,23,0
1623611066,21,0
1623640814,24,0
1623670327,29,0
1623699850,65,6
1623729146,26,0
1623758656,29,0
1623788486,36,0
1623817930,46,0
1623847462,15,0
1623876742,39,0
1623891664,28,1
1623935769,30,0
1623950406,43,1
1623979945,41,0
1624009457,42,0
1624038731,34,0
1624068254,19,0
1624097782,14,0
1624127286,30,0
1624156581,46,0
1624185848,26,0
1624215369,31,0
1624244646,32,0
1624274409,36,0
1624303933,53,0
1624333220,42,0
1624362498,30,0
1624392017,37,0
1624421286,35,0
1624450580,53,0
1624479867,62,0
1624509371,38,0
1624539129,52,0
1624568420,36,1
1624597700,28,0
1624612333,40,0
1624656486,33,0
1624685771,37,0
1624700418,23,0
1624729930,37,0
1624759229,41,0
1624788729,14,0
1624818261,23,0
1624847780,26,0
1624877048,27,0
1624906335,42,1
1624935628,33,0
1624965127,26,0
1624994406,48,0
1625023685,41,0
1625052980,39,0
1625082247,41,12
1625111529,25,0
1625140850,37,0
1625170343,38,1
1625199622,32,0
1625228903,48,0
1625258179,52,8
1625287691,28,1
1625316970,30,0
1625346249,29,0
1625375769,35,0
1625405050,31,0
1625434330,39,0
1625463611,34,0
1625493148,55,0
1625522499,39,4
1625551688,71,0
1625566331,43,0
1625595850,36,2
1625625135,70,0
1625654648,58,0
1625684179,63,0
1625713689,57,0
1625742978,56,0
1625772260,47,2
1625801533,57,1
1625831052,42,0
1625860857,44,0
1625890089,30,0
1625919369,33,0
1625948646,32,0
1625978184,22,0
1626007449,20,0
1626036968,47,0
1626066251,50,0
1626095545,46,0
1626124806,36,0
1626154328,32,1
1626183610,31,0
1626212885,37,1
1626242179,46,0
1626271686,31,0
1626300979,37,0
1626330253,48,0
1626345127,41,0
1626389049,29,1
1626418326,36,0
1626432970,31,0
1626462497,30,0
1626491778,39,0
1626521061,31,0
1626550813,23,0
1626580089,35,0
1626609644,34,0
1626639138,18,0
1626668422,35,0
1626697930,13,1
1626727209,33,0
1626756739,29,0
1626786328,47,0
1626815542,49,2
1626845050,24,0
1626874326,21,0
1626903610,47,1
1626932890,320,1
1626962168,29,0
1626991460,73,0
1627021212,18,0
1627050486,32,0
1627079770,39,1
1627109052,26,0
1627138339,36,0
1627167848,31,0
1627197384,48,0
1627212011,33,0
1627255931,37,0
1627270580,21,0
1627307289,53,0
1627336578,65,0
1627365846,80,1
1627395611,89,0
1627424890,60,6
1627454189,73,0
1627483448,24,1
1627512736,30,5
1627542024,28,0
1627571528,35,0
1627600920,35,1
1627615450,22,0
1627659370,24,0
1627688887,34,5
1627703523,22,0
1627732826,25,0
1627776979,31,0
1627791608,30,0
1627820894,30,0
1627850178,29,0
1627879457,44,0
1627908967,50,0
1627938257,49,2
1627967528,46,0
1627997047,45,0
1628026324,54,0
1628055617,23,0
1628085134,36,0
1628114436,53,0
1628143937,44,0
1628173448,36,0
1628202735,38,1
1628232258,31,0
1628261528,33,0
1628290817,41,8
1628320327,42,0
1628349850,31,0
1628379139,31,0
1628408411,24,0
1628437686,17,0
1628466976,43,0
1628496259,23,0
1628525537,16,0
1628540419,46,1
1628584324,33,0
1628598966,43,0
1628628246,47,0
1628657535,27,0
1628686822,42,8
1628716339,67,0
1628745845,59,0
1628775437,44,0
1628805138,37,3
1628834415,24,0
1628863683,47,0
1628892984,46,0
1628922497,14,0
1628951768,23,0
1628981058,38,0
1629010567,27,0
1629039855,26,0
1629069378,33,0
1629099128,46,0
1629128646,31,0
1629157935,45,1
1629187217,26,0
1629216497,38,0
1629246008,40,1
1629275295,44,0
1629289925,37,0
1629333845,55,0
1629348729,31,0
1629378016,37,6
1629407528,39,1
1629437061,30,0
1629466568,35,0
1629495856,45,0
1629525137,34,0
1629554408,24,0
1629583685,28,0
1629620404,22,0
1629649927,31,0
1629679215,44,0
1629693860,134,0
1629723366,52,0
1629752659,45,7
1629781937,27,0
1629811455,32,5
1629840980,52,1
1629870507,31,0
1629900030,51,0
1629929286,60,0
1629959049,47,0
1629988568,35,1
1630018097,48,1
1630047615,37,0
1630076894,48,0
1630098730,27,2
1630143139,36,0
1630157779,18,0
1630187297,33,0
1630216573,59,0
1630245849,51,0
1630275621,37,0
