DateTime,AddedIPs,RemovedIPs
1628605981,2,0
1628609582,3,0
1628613181,1,0
1628627581,1,0
1628649181,0,1
1628685181,0,1
1628688781,0,3
1628699581,0,1
1628746382,0,1
1628764382,0,1
1628785981,0,1
1628832781,0,1
1628850781,0,1
1628857981,0,1
1628875981,0,1
1628893981,0,2
1628897582,0,1
1628901181,0,1
1628929981,0,1
1628937181,0,1
1628980381,0,2
1628998381,0,1
1629001982,0,1
1629009181,0,2
1629027182,0,1
1629073981,0,2
1629077581,0,1
1629109982,0,1
1629120781,0,1
1629131581,0,1
1629135182,0,2
1629153182,0,1
1629163981,0,1
1629214382,0,1
1629225181,0,2
1629264781,0,1
1629271981,0,1
1629293581,0,7
1629300781,0,1
1629307981,0,1
1629311581,0,1
1629322381,0,1
1629333182,0,1
1629347581,0,1
1629354781,0,2
1629361981,0,1
1629372781,0,2
1629379981,0,2
1629383582,0,2
1629387181,0,4
1629394381,0,1
1629408781,0,1
1629415981,0,1
1629423182,0,1
1629433981,0,2
1629451981,0,5
1629462781,0,4
1629466381,0,1
1629469982,0,1
1629473581,0,1
1629480781,0,1
1629484381,0,1
1629487982,0,1
1629513181,0,2
1629527581,0,2
1629534782,0,1
1629541981,0,2
1629549181,0,2
1629556381,0,1
1629559982,0,1
1629563581,0,4
1629570781,0,5
1629585181,0,2
1629588781,0,3
1629613981,0,1
1629624781,0,1
1629635582,0,2
1629642781,0,1
1629646382,0,1
1629649982,0,1
1629657181,0,1
1629664381,0,1
1629671582,0,1
1629693182,0,1
1629696782,0,1
1629703981,0,2
1629707581,0,1
1629714781,0,2
1629721981,0,3
1629732781,0,3
1629743582,0,3
1629750782,0,1
1629757981,0,1
1629768781,0,1
1629772381,0,1
1629779581,0,1
1629786781,0,1
1629790381,0,1
1629793982,0,1
1629804782,0,1
1629808381,0,1
1629822781,0,1
1629847981,0,1
1629858781,0,5
1629883981,0,1
1629894782,0,2
1629898381,0,2
1629912781,0,1
1629952381,0,1
1629963181,0,1
1629970382,0,7
1629977581,0,1
1629981181,0,1
1629988381,0,4
1629995581,0,1
1630002781,0,2
1630006381,0,1
1630009981,0,3
1630024381,0,1
1630027981,0,1
1630035181,0,2
1630042381,0,3
1630049581,0,4
1630060381,0,1
1630074782,0,2
1630078382,0,2
1630092782,0,1
1630099981,0,1
1630107181,0,1
1630114381,0,1
1630121581,0,2
1630132381,0,1
1630143181,0,2
1630146781,0,2
1630150381,0,1
1630153981,0,1
1630161181,0,1
1630168381,0,1
1630189981,0,2
1630204381,0,1
1630229581,0,3
1630233181,0,2
1630254781,0,2
1630258381,0,1
1630261981,0,2
1630308781,0,2
1630315982,0,2
1630319581,0,2
1630323181,0,1
1630333981,0,1
1630337582,0,2
1630341181,0,2
1630362782,0,1
1630384381,0,1
1630391581,0,4
1630398782,0,1
1630405981,0,1
1630409581,0,2
1630423982,0,5
1630427581,0,2
1630438382,0,1
1630445581,0,1
1630463581,0,2
1630492381,0,3
1630503181,0,1
1630506781,0,1
1630513982,0,1
1630524781,0,1
1630546381,0,2
1630571581,0,1
1630575184,0,2
1630582384,0,1
1630589583,0,2
1630603982,0,2
1630614782,0,2
1630618384,0,2
1630621981,0,1
1630632783,0,1
1630643581,0,1
1630647182,0,1
1630672381,0,2
1630675981,0,1
1630679581,0,3
1630686781,0,2
1630693981,0,1
1630701181,0,2
1630704782,0,3
1630726382,0,1
1630729981,0,1
1630737181,0,1
1630740781,0,1
1630747982,0,5
1630758781,0,1
1630762381,0,1
1630769581,0,1
1630776781,0,2
1630780382,0,2
1630794781,0,1
1630801981,0,4
1630809182,0,1
1630812782,0,2
1630819982,0,1
1630827182,0,1
1630834381,0,3
1630837982,0,1
1630848781,0,1
1630855982,0,5
1630873981,0,1
1630881181,0,1
1630891981,0,3
1630895581,0,1
1630899181,0,1
1630906381,0,2
1630913581,0,3
1630920781,0,2
1630924382,0,1
1630927983,0,4
1630935182,0,1
1630938783,0,5
1630949582,0,1
1630953183,0,2
1630960383,0,3
1630978384,0,8
1630981981,0,3
1630989182,0,1
1630992781,0,4
1630999981,0,5
1631003581,0,8
1631010783,0,5
1631017981,0,2
1631021581,0,2
1631025181,0,6
1631032381,0,5
1631039581,0,11
1631043181,0,4
1631050382,0,3
1631053981,0,4
1631061181,0,3
1631064781,0,2
1631068381,0,11
1631071982,0,5
1631079181,0,2
1631082781,0,2
1631086381,0,2
1631089981,0,9
1631093582,0,5
1631100782,0,3
1631104381,0,7
1631111583,0,4
1631115182,0,12
1631122383,0,7
1631125981,0,2
1631129584,0,4
1631133181,0,14
1631140381,0,4
1631143981,0,4
1631147581,0,5
1631154781,0,5
1631158383,0,7
1631161983,0,9
1631165583,0,7
1631169181,0,8
1631172782,0,10
1631176382,0,17
1631183582,0,10
1631187181,0,7
1631190782,0,22
1631197984,0,20
1631201581,0,11
1631205181,0,8
1631208782,0,14
1631251981,0,60
1631370781,24,0
1631374381,21,0
1631377984,9,0
1631381582,12,0
1631385181,10,0
1631388782,11,0
1631392381,12,0
1631395981,7,0
1631399581,9,0
1631403181,14,0
1631406781,7,0
1631410381,7,0
1631413982,8,0
1631417581,9,0
1631421181,4,0
1631424781,6,0
1631428381,2,0
1631431981,5,0
1631435581,7,0
1631439182,7,0
1631442782,3,0
1631446381,7,0
1631449981,10,0
1631453582,6,0
1631457181,6,0
1631460781,3,0
1631464381,7,0
1631467982,8,0
1631471584,3,0
1631475182,3,0
1631478782,4,0
1631482383,3,0
1631485981,4,0
1631489582,4,0
1631493181,1,0
1631496783,3,0
1631500381,2,0
1631503983,3,0
1631507581,7,0
1631511182,3,0
1631514782,2,0
1631518383,2,0
1631521982,4,0
1631525583,2,0
1631529181,5,0
1631532784,3,0
1631536383,1,0
1631539981,6,0
1631547182,5,0
1631550781,2,0
1631554381,2,0
1631557982,1,0
1631561581,1,0
1631565181,3,0
1631577009,1,0
1631580609,3,0
1631584208,1,0
1631587811,2,0
1631591409,2,0
1631595009,2,0
1631598011,3,0
1631601182,3,0
1631604785,2,0
1631608384,2,0
1631611981,2,0
1631619183,3,0
1631623206,2,0
1631626382,2,0
1631629983,3,0
1631637183,1,0
1631640782,3,0
1631644382,1,0
1631647982,1,0
1631651581,1,0
1631655181,1,0
1631658781,2,0
1631662381,2,0
1631665984,2,0
1631673181,1,0
1631676783,1,0
1631680382,1,0
1631683981,1,0
1631691181,3,0
1631698384,2,0
1631709181,1,0
1631712781,1,0
1631716382,3,0
1631719983,3,0
1631723581,1,0
1631727182,4,0
1631730781,4,0
1631734811,3,0
1631737983,1,0
1631741581,1,0
1631745183,2,0
1631748782,2,0
1631752382,2,0
1631755984,6,0
1631763182,1,0
1631770382,4,0
1631773983,2,0
1631777583,4,0
1631781182,1,0
1631784781,2,0
1631788381,1,0
1631791981,3,0
1631795581,1,0
1631799182,3,0
1631806382,1,0
1631809981,1,0
1631813582,2,0
1631817181,1,0
1631824382,1,0
1631838781,2,0
1631849581,2,0
1631853181,2,0
1631860381,3,0
1631874783,1,0
1631885582,1,0
1631889184,1,0
1631892781,1,0
1631896381,1,0
1631910781,1,0
1631914381,2,0
1631925182,1,0
1631946782,3,0
1631953981,1,0
1631957581,1,0
1631961181,3,0
1631982781,1,0
1631989981,1,0
1631993581,1,0
1632018781,1,0
1632029581,1,0
1632036781,1,0
1632053419,1,0
1632057017,2,0
1632070217,2,0
1632073819,2,0
1632087618,1,0
1632097983,1,0
1632101581,2,0
1632105181,1,0
1632115982,1,0
1632126782,1,0
1632137581,1,0
1632151981,2,0
1632155582,1,0
1632159182,2,0
1632162783,2,0
1632177182,1,0
1632187982,1,0
1632191583,1,0
1632195181,1,0
1632211221,1,0
1632217823,3,0
1632225021,2,0
1632232210,1,0
1632238824,1,0
1632249182,2,0
1632256383,2,0
1632270781,1,0
1632292384,1,0
1632295982,1,0
1632299582,1,0
1632303184,1,0
1632306781,1,0
1632339181,1,0
1632353581,1,0
1632360781,1,0
1632371581,1,0
1632382381,1,0
1632385983,1,0
1632393182,1,0
1632403982,1,0
1632414784,1,0
1632421982,1,0
1632429181,1,0
1632447183,1,0
1632486782,1,0
1632490382,1,0
1632515581,1,0
1632522781,1,0
1632549026,1,0
1632552626,1,0
1632559827,1,0
1632580827,1,0
1632598383,1,0
1632612782,1,0
1632616381,1,0
1632659581,1,0
1632666782,1,0
1632702781,1,0
1632749581,1,0
1632753181,1,0
1632756781,1,0
1632767581,2,0
1632807183,1,0
1632810784,1,0
1632828781,1,0
1632832381,1,0
1632835981,1,0
1632839581,1,0
1632853981,1,0
1632882781,1,0
1632889981,1,0
1632918782,1,0
1632922384,1,0
1632936783,1,0
1632943982,1,0
1632997981,1,0
1633026781,2,0
1633037581,1,0
1633041181,2,0
1633048382,1,0
1633051981,1,0
1633059181,1,0
1633066382,1,0
1633077182,1,0
1633123981,1,0
1633141981,1,0
1633167183,1,0
1633174382,2,0
1633199582,1,0
1633213981,1,0
1633217581,1,0
1633231981,1,0
1633271582,1,0
